     0      1.0000    1.0000    1.0000
   147	    0.4235    0.4235    0.4235
   148	    0.4196    0.4196    0.4196
   149	    0.4157    0.4157    0.4157
   150	    0.4118    0.4118    0.4118
   151	    0.4078    0.4078    0.4078
   152	    0.4039    0.4039    0.4039
   153	    0.4000    0.4000    0.4000
   154	    0.3961    0.3961    0.3961
   155	    0.3922    0.3922    0.3922
   156	    0.3882    0.3882    0.3882
   157	    0.3843    0.3843    0.3843
   158	    0.3804    0.3804    0.3804
   159	    0.3765    0.3765    0.3765
   160	    0.3725    0.3725    0.3725
   161	    0.3686    0.3686    0.3686
   162	    0.3647    0.3647    0.3647
   163	    0.3608    0.3608    0.3608
   164	    0.3569    0.3569    0.3569
   165	    0.3529    0.3529    0.3529
   166	    0.3490    0.3490    0.3490
   167	    0.3451    0.3451    0.3451
   168	    0.3412    0.3412    0.3412
   169	    0.3373    0.3373    0.3373
   170	    0.3333    0.3333    0.3333
   171	    0.3294    0.3294    0.3294
   172	    0.3255    0.3255    0.3255
   173	    0.3216    0.3216    0.3216
   174	    0.3176    0.3176    0.3176
   175	    0.3137    0.3137    0.3137
   176	    0.3098    0.3098    0.3098
   177	    0.3059    0.3059    0.3059
   178	    0.3020    0.3020    0.3020
   179	    0.2980    0.2980    0.2980
   180	    0.2941    0.2941    0.2941
   181	    0.2902    0.2902    0.2902
   182	    0.2863    0.2863    0.2863
   183	    0.2824    0.2824    0.2824
   184	    0.2784    0.2784    0.2784
   185	    0.2745    0.2745    0.2745
   186	    0.2706    0.2706    0.2706
   187	    0.2667    0.2667    0.2667
   188	    0.2627    0.2627    0.2627
   189	    0.2588    0.2588    0.2588
   190	    0.2549    0.2549    0.2549
   191	    0.2510    0.2510    0.2510
   192	    0.2471    0.2471    0.2471
   193	    0.2431    0.2431    0.2431
   194	    0.2392    0.2392    0.2392
   195	    0.2353    0.2353    0.2353
   196	    0.2314    0.2314    0.2314
   197	    0.2275    0.2275    0.2275
   198	    0.2235    0.2235    0.2235
   199	    0.2196    0.2196    0.2196
   200	    0.2157    0.2157    0.2157
   201	    0.2118    0.2118    0.2118
   202	    0.2078    0.2078    0.2078
   203	    0.2039    0.2039    0.2039
   204	    0.2000    0.2000    0.2000
   205	    0.1961    0.1961    0.1961
   206	    0.1922    0.1922    0.1922
   207	    0.1882    0.1882    0.1882
   208	    0.1843    0.1843    0.1843
   209	    0.1804    0.1804    0.1804
   210	    0.1765    0.1765    0.1765
   211	    0.1725    0.1725    0.1725
   212	    0.1686    0.1686    0.1686
   213	    0.1647    0.1647    0.1647
   214	    0.1608    0.1608    0.1608
   215	    0.1569    0.1569    0.1569
   216	    0.1529    0.1529    0.1529
   217	    0.1490    0.1490    0.1490
   218	    0.1451    0.1451    0.1451
   219	    0.1412    0.1412    0.1412
   220	    0.1373    0.1373    0.1373
   221	    0.1333    0.1333    0.1333
   222	    0.1294    0.1294    0.1294
   223	    0.1255    0.1255    0.1255
   224	    0.1216    0.1216    0.1216
   225	    0.1176    0.1176    0.1176
   226	    0.1137    0.1137    0.1137
   227	    0.1098    0.1098    0.1098
   228	    0.1059    0.1059    0.1059
   229	    0.1020    0.1020    0.1020
   230	    0.0980    0.0980    0.0980
   231	    0.0941    0.0941    0.0941
   232	    0.0902    0.0902    0.0902
   233	    0.0863    0.0863    0.0863
   234	    0.0824    0.0824    0.0824
   235	    0.0784    0.0784    0.0784
   236	    0.0745    0.0745    0.0745
   237	    0.0706    0.0706    0.0706
   238	    0.0667    0.0667    0.0667
   239	    0.0627    0.0627    0.0627
   240	    0.0588    0.0588    0.0588
   241	    0.0549    0.0549    0.0549
   242	    0.0510    0.0510    0.0510
   243	    0.0471    0.0471    0.0471
   244	    0.0431    0.0431    0.0431
   245	    0.0392    0.0392    0.0392
   246	    0.0353    0.0353    0.0353
   247	    0.0314    0.0314    0.0314
   248	    0.0275    0.0275    0.0275
   249	    0.0235    0.0235    0.0235
   250	    0.0196    0.0196    0.0196
   251	    0.0157    0.0157    0.0157
   252	    0.0118    0.0118    0.0118
   253	    0.0       0.0       0.0
   254	    0.0       0.0       0.0
   255	    0.0       1.000     0.0
